epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1558198214192,2019-05-18T18:50:14.192,6.640,0.201,-0.872,0.371
1558198214272,2019-05-18T18:50:14.272,6.720,0.202,-0.872,0.371
1558198214352,2019-05-18T18:50:14.352,6.800,0.202,-0.872,0.370
1558198214432,2019-05-18T18:50:14.432,6.880,0.202,-0.871,0.371
1558198214512,2019-05-18T18:50:14.512,6.960,0.202,-0.871,0.371
1558198214592,2019-05-18T18:50:14.592,7.040,0.201,-0.872,0.371
1558198214672,2019-05-18T18:50:14.672,7.120,0.201,-0.872,0.371
1558198214752,2019-05-18T18:50:14.752,7.200,0.202,-0.872,0.371
1558198214832,2019-05-18T18:50:14.832,7.280,0.202,-0.871,0.371
1558198214912,2019-05-18T18:50:14.912,7.360,0.202,-0.872,0.372
1558198214992,2019-05-18T18:50:14.992,7.440,0.201,-0.871,0.370
1558198215072,2019-05-18T18:50:15.072,7.520,0.202,-0.873,0.369
1558198215152,2019-05-18T18:50:15.152,7.600,0.202,-0.872,0.370
1558198215232,2019-05-18T18:50:15.232,7.680,0.202,-0.871,0.371
1558198215312,2019-05-18T18:50:15.312,7.760,0.201,-0.872,0.370
1558198215392,2019-05-18T18:50:15.392,7.840,0.201,-0.871,0.370
1558198215472,2019-05-18T18:50:15.472,7.920,0.202,-0.871,0.371
1558198215552,2019-05-18T18:50:15.552,8.000,0.201,-0.872,0.371
1558198215632,2019-05-18T18:50:15.632,8.080,0.202,-0.872,0.370
1558198215712,2019-05-18T18:50:15.712,8.160,0.201,-0.872,0.371
1558198215792,2019-05-18T18:50:15.792,8.240,0.201,-0.872,0.371
1558198215872,2019-05-18T18:50:15.872,8.320,0.202,-0.872,0.371
1558198215952,2019-05-18T18:50:15.952,8.400,0.202,-0.872,0.372
1558198216032,2019-05-18T18:50:16.032,8.480,0.202,-0.873,0.371
1558198216112,2019-05-18T18:50:16.112,8.560,0.201,-0.872,0.370
1558198216192,2019-05-18T18:50:16.192,8.640,0.203,-0.872,0.371
1558198216272,2019-05-18T18:50:16.272,8.720,0.203,-0.872,0.371
1558198216352,2019-05-18T18:50:16.352,8.800,0.202,-0.872,0.370
1558198216432,2019-05-18T18:50:16.432,8.880,0.202,-0.872,0.370
1558198216512,2019-05-18T18:50:16.512,8.960,0.203,-0.872,0.371
1558198216592,2019-05-18T18:50:16.592,9.040,0.200,-0.871,0.374
1558198216672,2019-05-18T18:50:16.672,9.120,0.200,-0.871,0.373
1558198216752,2019-05-18T18:50:16.752,9.200,0.205,-0.873,0.366
1558198216832,2019-05-18T18:50:16.832,9.280,0.203,-0.872,0.370
1558198216912,2019-05-18T18:50:16.912,9.360,0.198,-0.871,0.375
1558198216992,2019-05-18T18:50:16.992,9.440,0.200,-0.872,0.374
1558198217072,2019-05-18T18:50:17.072,9.520,0.203,-0.872,0.370
1558198217152,2019-05-18T18:50:17.152,9.600,0.206,-0.872,0.364
1558198217232,2019-05-18T18:50:17.232,9.680,0.201,-0.872,0.372
1558198217312,2019-05-18T18:50:17.312,9.760,0.198,-0.871,0.377
1558198217392,2019-05-18T18:50:17.392,9.840,0.203,-0.872,0.370
1558198217472,2019-05-18T18:50:17.472,9.920,0.204,-0.872,0.367
1558198217552,2019-05-18T18:50:17.552,10.000,0.200,-0.872,0.372
1558198217632,2019-05-18T18:50:17.632,10.080,0.200,-0.872,0.372
1558198217712,2019-05-18T18:50:17.712,10.160,0.203,-0.872,0.370
1558198217792,2019-05-18T18:50:17.792,10.240,0.202,-0.872,0.371
1558198217872,2019-05-18T18:50:17.872,10.320,0.201,-0.872,0.371
1558198217952,2019-05-18T18:50:17.952,10.400,0.202,-0.872,0.371
1558198218032,2019-05-18T18:50:18.032,10.480,0.201,-0.872,0.371
1558198218112,2019-05-18T18:50:18.112,10.560,0.202,-0.872,0.370
1558198218192,2019-05-18T18:50:18.192,10.640,0.203,-0.872,0.370
1558198218272,2019-05-18T18:50:18.272,10.720,0.202,-0.871,0.370
1558198218352,2019-05-18T18:50:18.352,10.800,0.201,-0.871,0.370
1558198218432,2019-05-18T18:50:18.432,10.880,0.201,-0.871,0.371
1558198218512,2019-05-18T18:50:18.512,10.960,0.201,-0.872,0.372
1558198218592,2019-05-18T18:50:18.592,11.040,0.202,-0.872,0.371
1558198218672,2019-05-18T18:50:18.672,11.120,0.202,-0.872,0.370
1558198218752,2019-05-18T18:50:18.752,11.200,0.202,-0.871,0.372
1558198218832,2019-05-18T18:50:18.832,11.280,0.203,-0.872,0.371
1558198218912,2019-05-18T18:50:18.912,11.360,0.201,-0.872,0.370
1558198218992,2019-05-18T18:50:18.992,11.440,0.202,-0.872,0.371
1558198219072,2019-05-18T18:50:19.072,11.520,0.202,-0.871,0.371
1558198219152,2019-05-18T18:50:19.152,11.600,0.202,-0.872,0.372
1558198219232,2019-05-18T18:50:19.232,11.680,0.201,-0.872,0.372
1558198219312,2019-05-18T18:50:19.312,11.760,0.202,-0.872,0.372
1558198219392,2019-05-18T18:50:19.392,11.840,0.203,-0.871,0.371
1558198219472,2019-05-18T18:50:19.472,11.920,0.202,-0.872,0.370
1558198219552,2019-05-18T18:50:19.552,12.000,0.202,-0.872,0.371
1558198219632,2019-05-18T18:50:19.632,12.080,0.202,-0.871,0.372
1558198219712,2019-05-18T18:50:19.712,12.160,0.202,-0.872,0.371
1558198219792,2019-05-18T18:50:19.792,12.240,0.202,-0.872,0.370
1558198219872,2019-05-18T18:50:19.872,12.320,0.202,-0.872,0.372
1558198219952,2019-05-18T18:50:19.952,12.400,0.202,-0.872,0.371
1558198220032,2019-05-18T18:50:20.032,12.480,0.202,-0.871,0.371
1558198220112,2019-05-18T18:50:20.112,12.560,0.201,-0.872,0.371
1558198220192,2019-05-18T18:50:20.192,12.640,0.200,-0.871,0.371
