epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1558198484592,2019-05-18T18:54:44.592,277.040,0.758,-0.150,0.545
1558198484672,2019-05-18T18:54:44.672,277.120,0.795,-0.239,0.574
1558198484752,2019-05-18T18:54:44.752,277.200,0.709,-0.220,0.523
1558198484832,2019-05-18T18:54:44.832,277.280,0.851,-0.182,0.552
1558198484912,2019-05-18T18:54:44.912,277.360,0.863,-0.167,0.603
1558198484992,2019-05-18T18:54:44.992,277.440,0.761,-0.140,0.468
1558198485072,2019-05-18T18:54:45.072,277.520,0.817,-0.082,0.590
1558198485152,2019-05-18T18:54:45.152,277.600,0.824,-0.018,0.477
1558198485232,2019-05-18T18:54:45.232,277.680,0.726,0.022,0.461
1558198485312,2019-05-18T18:54:45.312,277.760,0.719,0.014,0.513
1558198485392,2019-05-18T18:54:45.392,277.840,0.894,-0.014,0.592
1558198485472,2019-05-18T18:54:45.472,277.920,0.737,0.009,0.502
1558198485552,2019-05-18T18:54:45.552,278.000,0.755,-0.041,0.565
1558198485632,2019-05-18T18:54:45.632,278.080,0.690,-0.010,0.395
1558198485712,2019-05-18T18:54:45.712,278.160,0.770,-0.044,0.477
1558198485792,2019-05-18T18:54:45.792,278.240,0.894,-0.054,0.538
1558198485872,2019-05-18T18:54:45.872,278.320,0.863,-0.010,0.581
1558198485952,2019-05-18T18:54:45.952,278.400,0.743,0.018,0.521
1558198486032,2019-05-18T18:54:46.032,278.480,0.833,-0.050,0.586
1558198486112,2019-05-18T18:54:46.112,278.560,0.854,-0.143,0.553
1558198486192,2019-05-18T18:54:46.192,278.640,0.729,-0.167,0.437
1558198486272,2019-05-18T18:54:46.272,278.720,0.748,-0.146,0.468
1558198486352,2019-05-18T18:54:46.352,278.800,0.791,-0.146,0.498
1558198486432,2019-05-18T18:54:46.432,278.880,0.679,-0.079,0.512
1558198486512,2019-05-18T18:54:46.512,278.960,0.668,-0.087,0.512
1558198486592,2019-05-18T18:54:46.592,279.040,0.718,-0.116,0.505
1558198486672,2019-05-18T18:54:46.672,279.120,0.738,-0.154,0.512
1558198486752,2019-05-18T18:54:46.752,279.200,0.790,-0.160,0.484
1558198486832,2019-05-18T18:54:46.832,279.280,0.751,-0.092,0.491
1558198486912,2019-05-18T18:54:46.912,279.360,0.815,-0.070,0.537
1558198486992,2019-05-18T18:54:46.992,279.440,0.794,-0.010,0.530
1558198487072,2019-05-18T18:54:47.072,279.520,0.821,-0.022,0.498
1558198487152,2019-05-18T18:54:47.152,279.600,0.797,-0.061,0.477
1558198487232,2019-05-18T18:54:47.232,279.680,0.887,-0.091,0.501
1558198487312,2019-05-18T18:54:47.312,279.760,0.802,-0.036,0.506
1558198487392,2019-05-18T18:54:47.392,279.840,0.752,-0.011,0.477
1558198487472,2019-05-18T18:54:47.472,279.920,0.798,-0.028,0.583
1558198487552,2019-05-18T18:54:47.552,280.000,0.817,-0.025,0.542
1558198487632,2019-05-18T18:54:47.632,280.080,0.749,-0.021,0.526
1558198487712,2019-05-18T18:54:47.712,280.160,0.728,-0.089,0.492
1558198487792,2019-05-18T18:54:47.792,280.240,0.785,-0.091,0.477
1558198487872,2019-05-18T18:54:47.872,280.320,0.621,-0.095,0.482
1558198487952,2019-05-18T18:54:47.952,280.400,0.811,-0.094,0.575
1558198488032,2019-05-18T18:54:48.032,280.480,0.797,-0.104,0.472
1558198488112,2019-05-18T18:54:48.112,280.560,0.871,-0.119,0.579
1558198488192,2019-05-18T18:54:48.192,280.640,0.854,-0.104,0.543
1558198488272,2019-05-18T18:54:48.272,280.720,0.772,-0.151,0.415
1558198488352,2019-05-18T18:54:48.352,280.800,0.773,-0.143,0.495
1558198488432,2019-05-18T18:54:48.432,280.880,0.829,-0.142,0.538
1558198488512,2019-05-18T18:54:48.512,280.960,0.650,-0.070,0.520
1558198488592,2019-05-18T18:54:48.592,281.040,0.787,-0.155,0.560
1558198488672,2019-05-18T18:54:48.672,281.120,0.870,-0.119,0.529
1558198488752,2019-05-18T18:54:48.752,281.200,0.641,-0.085,0.529
1558198488832,2019-05-18T18:54:48.832,281.280,0.767,0.017,0.502
1558198488912,2019-05-18T18:54:48.912,281.360,0.777,0.029,0.692
1558198488992,2019-05-18T18:54:48.992,281.440,0.719,-0.013,0.570
1558198489072,2019-05-18T18:54:49.072,281.520,0.893,-0.058,0.576
1558198489152,2019-05-18T18:54:49.152,281.600,0.861,-0.044,0.504
1558198489232,2019-05-18T18:54:49.232,281.680,0.913,-0.038,0.533
1558198489312,2019-05-18T18:54:49.312,281.760,0.811,-0.064,0.763
1558198489392,2019-05-18T18:54:49.392,281.840,0.537,-0.113,0.572
1558198489472,2019-05-18T18:54:49.472,281.920,0.780,-0.173,0.461
1558198489552,2019-05-18T18:54:49.552,282.000,0.797,-0.089,0.496
1558198489632,2019-05-18T18:54:49.632,282.080,0.780,-0.050,0.431
1558198489712,2019-05-18T18:54:49.712,282.160,0.827,-0.084,0.515
1558198489792,2019-05-18T18:54:49.792,282.240,0.929,-0.099,0.579
1558198489872,2019-05-18T18:54:49.872,282.320,0.820,-0.083,0.496
1558198489952,2019-05-18T18:54:49.952,282.400,0.729,-0.085,0.445
1558198490032,2019-05-18T18:54:50.032,282.480,0.687,-0.079,0.577
1558198490112,2019-05-18T18:54:50.112,282.560,0.775,-0.072,0.541
1558198490192,2019-05-18T18:54:50.192,282.640,0.770,-0.076,0.512
1558198490272,2019-05-18T18:54:50.272,282.720,0.808,-0.086,0.539
1558198490352,2019-05-18T18:54:50.352,282.800,0.829,-0.047,0.558
1558198490432,2019-05-18T18:54:50.432,282.880,0.743,-0.042,0.619
1558198490512,2019-05-18T18:54:50.512,282.960,0.644,-0.059,0.604
1558198490592,2019-05-18T18:54:50.592,283.040,0.724,-0.071,0.570
1558198490672,2019-05-18T18:54:50.672,283.120,0.773,-0.101,0.547
1558198490752,2019-05-18T18:54:50.752,283.200,0.804,-0.103,0.401
1558198490832,2019-05-18T18:54:50.832,283.280,0.851,-0.044,0.487
1558198490912,2019-05-18T18:54:50.912,283.360,0.781,-0.059,0.514
1558198490992,2019-05-18T18:54:50.992,283.440,0.863,-0.129,0.546
1558198491072,2019-05-18T18:54:51.072,283.520,0.876,-0.185,0.542
1558198491152,2019-05-18T18:54:51.152,283.600,0.750,-0.154,0.550
1558198491232,2019-05-18T18:54:51.232,283.680,0.708,-0.085,0.611
1558198491312,2019-05-18T18:54:51.312,283.760,0.717,-0.083,0.465
1558198491392,2019-05-18T18:54:51.392,283.840,0.697,-0.036,0.471
1558198491472,2019-05-18T18:54:51.472,283.920,0.867,-0.035,0.487
1558198491552,2019-05-18T18:54:51.552,284.000,0.760,-0.038,0.518
1558198491632,2019-05-18T18:54:51.632,284.080,0.781,-0.038,0.545
1558198491712,2019-05-18T18:54:51.712,284.160,0.851,-0.075,0.549
1558198491792,2019-05-18T18:54:51.792,284.240,0.927,-0.094,0.519
1558198491872,2019-05-18T18:54:51.872,284.320,0.977,-0.110,0.503
1558198491952,2019-05-18T18:54:51.952,284.400,0.827,-0.118,0.471
1558198492032,2019-05-18T18:54:52.032,284.480,0.681,-0.066,0.481
1558198492112,2019-05-18T18:54:52.112,284.560,0.754,-0.100,0.571
1558198492192,2019-05-18T18:54:52.192,284.640,0.743,-0.141,0.543
1558198492272,2019-05-18T18:54:52.272,284.720,0.645,-0.107,0.476
1558198492352,2019-05-18T18:54:52.352,284.800,0.818,-0.130,0.532
1558198492432,2019-05-18T18:54:52.432,284.880,0.784,-0.119,0.556
1558198492512,2019-05-18T18:54:52.512,284.960,0.784,-0.069,0.491
1558198492592,2019-05-18T18:54:52.592,285.040,0.793,-0.042,0.475
1558198492672,2019-05-18T18:54:52.672,285.120,0.814,-0.108,0.513
1558198492752,2019-05-18T18:54:52.752,285.200,0.846,-0.092,0.486
1558198492832,2019-05-18T18:54:52.832,285.280,0.737,-0.087,0.541
1558198492912,2019-05-18T18:54:52.912,285.360,0.755,-0.102,0.547
1558198492992,2019-05-18T18:54:52.992,285.440,0.832,-0.132,0.500
1558198493072,2019-05-18T18:54:53.072,285.520,0.896,-0.129,0.508
1558198493152,2019-05-18T18:54:53.152,285.600,1.006,-0.042,0.619
1558198493232,2019-05-18T18:54:53.232,285.680,0.814,0.045,0.609
1558198493312,2019-05-18T18:54:53.312,285.760,0.908,0.067,0.619
1558198493392,2019-05-18T18:54:53.392,285.840,0.651,-0.024,0.373
1558198493472,2019-05-18T18:54:53.472,285.920,0.695,-0.043,0.325
1558198493552,2019-05-18T18:54:53.552,286.000,0.584,-0.005,0.544
1558198493632,2019-05-18T18:54:53.632,286.080,0.349,-0.072,0.383
1558198493712,2019-05-18T18:54:53.712,286.160,0.822,-0.117,0.619
1558198493792,2019-05-18T18:54:53.792,286.240,0.779,-0.002,0.717
1558198493872,2019-05-18T18:54:53.872,286.320,0.873,-0.041,0.313
1558198493952,2019-05-18T18:54:53.952,286.400,0.943,-0.104,0.290
1558198494032,2019-05-18T18:54:54.032,286.480,0.972,-0.183,0.544
1558198494112,2019-05-18T18:54:54.112,286.560,0.922,-0.219,0.839
1558198494192,2019-05-18T18:54:54.192,286.640,0.950,-0.220,0.823
1558198494272,2019-05-18T18:54:54.272,286.720,0.919,-0.178,0.521
1558198494352,2019-05-18T18:54:54.352,286.800,0.865,-0.074,0.418
1558198494432,2019-05-18T18:54:54.432,286.880,0.841,-0.094,0.498
1558198494512,2019-05-18T18:54:54.512,286.960,0.764,-0.109,0.639
1558198494592,2019-05-18T18:54:54.592,287.040,0.351,0.053,0.344
1558198494672,2019-05-18T18:54:54.672,287.120,0.754,-0.083,0.503
1558198494752,2019-05-18T18:54:54.752,287.200,0.819,-0.012,0.544
1558198494832,2019-05-18T18:54:54.832,287.280,0.637,0.022,0.497
1558198494912,2019-05-18T18:54:54.912,287.360,0.828,-0.023,0.705
1558198494992,2019-05-18T18:54:54.992,287.440,0.820,0.010,0.647
1558198495072,2019-05-18T18:54:55.072,287.520,0.748,0.004,0.550
1558198495152,2019-05-18T18:54:55.152,287.600,0.740,-0.043,0.558
1558198495232,2019-05-18T18:54:55.232,287.680,0.813,-0.110,0.592
1558198495312,2019-05-18T18:54:55.312,287.760,0.726,-0.132,0.583
1558198495392,2019-05-18T18:54:55.392,287.840,0.699,-0.143,0.602
1558198495472,2019-05-18T18:54:55.472,287.920,0.786,-0.135,0.608
1558198495552,2019-05-18T18:54:55.552,288.000,0.724,-0.109,0.567
1558198495632,2019-05-18T18:54:55.632,288.080,0.741,-0.106,0.560
1558198495712,2019-05-18T18:54:55.712,288.160,0.799,-0.154,0.657
1558198495792,2019-05-18T18:54:55.792,288.240,0.455,-0.097,0.614
1558198495872,2019-05-18T18:54:55.872,288.320,0.704,-0.050,0.652
1558198495952,2019-05-18T18:54:55.952,288.400,0.918,-0.063,0.815
1558198496032,2019-05-18T18:54:56.032,288.480,0.536,-0.025,0.494
1558198496112,2019-05-18T18:54:56.112,288.560,0.595,-0.012,0.585
1558198496192,2019-05-18T18:54:56.192,288.640,0.918,-0.115,0.669
1558198496272,2019-05-18T18:54:56.272,288.720,0.625,-0.151,0.646
1558198496352,2019-05-18T18:54:56.352,288.800,0.754,-0.137,0.671
1558198496432,2019-05-18T18:54:56.432,288.880,0.625,-0.026,0.646
1558198496512,2019-05-18T18:54:56.512,288.960,0.729,-0.071,0.698
1558198496592,2019-05-18T18:54:56.592,289.040,0.750,-0.094,0.689
1558198496672,2019-05-18T18:54:56.672,289.120,0.745,-0.104,0.723
1558198496752,2019-05-18T18:54:56.752,289.200,0.658,-0.100,0.534
1558198496832,2019-05-18T18:54:56.832,289.280,0.678,-0.083,0.598
1558198496912,2019-05-18T18:54:56.912,289.360,0.810,-0.067,0.699
1558198496992,2019-05-18T18:54:56.992,289.440,0.595,-0.094,0.581
1558198497072,2019-05-18T18:54:57.072,289.520,0.647,-0.060,0.538
1558198497152,2019-05-18T18:54:57.152,289.600,0.785,-0.074,0.658
1558198497232,2019-05-18T18:54:57.232,289.680,0.710,-0.038,0.674
1558198497312,2019-05-18T18:54:57.312,289.760,0.783,-0.090,0.779
1558198497392,2019-05-18T18:54:57.392,289.840,0.467,-0.009,0.580
1558198497472,2019-05-18T18:54:57.472,289.920,0.642,-0.029,0.464
1558198497552,2019-05-18T18:54:57.552,290.000,0.902,-0.132,0.743
1558198497632,2019-05-18T18:54:57.632,290.080,0.740,-0.128,0.562
1558198497712,2019-05-18T18:54:57.712,290.160,0.753,-0.029,0.826
1558198497792,2019-05-18T18:54:57.792,290.240,0.523,-0.054,0.456
1558198497872,2019-05-18T18:54:57.872,290.320,0.792,-0.106,0.481
1558198497952,2019-05-18T18:54:57.952,290.400,0.882,-0.075,0.713
1558198498032,2019-05-18T18:54:58.032,290.480,0.663,-0.148,0.583
1558198498112,2019-05-18T18:54:58.112,290.560,0.800,-0.104,0.781
1558198498192,2019-05-18T18:54:58.192,290.640,0.621,-0.010,0.569
1558198498272,2019-05-18T18:54:58.272,290.720,0.853,-0.059,0.801
1558198498352,2019-05-18T18:54:58.352,290.800,0.637,-0.056,0.521
1558198498432,2019-05-18T18:54:58.432,290.880,0.783,-0.090,0.670
1558198498512,2019-05-18T18:54:58.512,290.960,0.609,-0.107,0.702
1558198498592,2019-05-18T18:54:58.592,291.040,0.661,-0.043,0.677
1558198498672,2019-05-18T18:54:58.672,291.120,0.683,-0.164,0.813
1558198498752,2019-05-18T18:54:58.752,291.200,0.704,-0.130,0.769
1558198498832,2019-05-18T18:54:58.832,291.280,0.794,-0.010,0.565
1558198498912,2019-05-18T18:54:58.912,291.360,0.800,-0.179,0.418
1558198498992,2019-05-18T18:54:58.992,291.440,0.805,-0.036,0.690
1558198499072,2019-05-18T18:54:59.072,291.520,0.729,-0.061,0.591
1558198499152,2019-05-18T18:54:59.152,291.600,0.668,-0.115,0.526
1558198499232,2019-05-18T18:54:59.232,291.680,0.794,-0.142,0.555
1558198499312,2019-05-18T18:54:59.312,291.760,0.687,-0.026,0.477
1558198499392,2019-05-18T18:54:59.392,291.840,0.946,-0.060,0.753
1558198499472,2019-05-18T18:54:59.472,291.920,0.899,-0.059,0.791
1558198499552,2019-05-18T18:54:59.552,292.000,0.608,-0.101,0.574
1558198499632,2019-05-18T18:54:59.632,292.080,0.591,-0.096,0.365
1558198499712,2019-05-18T18:54:59.712,292.160,0.810,-0.118,0.583
1558198499792,2019-05-18T18:54:59.792,292.240,0.787,-0.012,0.342
1558198499872,2019-05-18T18:54:59.872,292.320,0.703,-0.004,0.400
1558198499952,2019-05-18T18:54:59.952,292.400,0.657,-0.170,0.653
1558198500032,2019-05-18T18:55:00.032,292.480,0.807,-0.200,0.954
1558198500112,2019-05-18T18:55:00.112,292.560,0.844,-0.024,0.755
1558198500192,2019-05-18T18:55:00.192,292.640,0.756,-0.146,0.250
1558198500272,2019-05-18T18:55:00.272,292.720,0.783,-0.173,0.327
1558198500352,2019-05-18T18:55:00.352,292.800,0.633,-0.047,0.568
1558198500432,2019-05-18T18:55:00.432,292.880,0.795,-0.072,0.754
1558198500512,2019-05-18T18:55:00.512,292.960,0.717,-0.052,0.726
1558198500592,2019-05-18T18:55:00.592,293.040,0.717,-0.228,-0.002
1558198500672,2019-05-18T18:55:00.672,293.120,0.879,-0.253,0.666
1558198500752,2019-05-18T18:55:00.752,293.200,0.677,-0.070,0.570
1558198500832,2019-05-18T18:55:00.832,293.280,0.778,0.003,0.631
1558198500912,2019-05-18T18:55:00.912,293.360,0.690,-0.125,0.532
1558198500992,2019-05-18T18:55:00.992,293.440,0.819,-0.138,0.610
1558198501072,2019-05-18T18:55:01.072,293.520,0.831,-0.149,0.693
1558198501152,2019-05-18T18:55:01.152,293.600,0.864,-0.067,0.551
1558198501232,2019-05-18T18:55:01.232,293.680,0.530,0.098,0.223
1558198501312,2019-05-18T18:55:01.312,293.760,0.782,-0.084,0.597
1558198501392,2019-05-18T18:55:01.392,293.840,0.720,-0.191,0.321
1558198501472,2019-05-18T18:55:01.472,293.920,0.817,-0.042,0.596
1558198501552,2019-05-18T18:55:01.552,294.000,0.801,-0.068,0.864
1558198501632,2019-05-18T18:55:01.632,294.080,0.818,-0.107,0.703
1558198501712,2019-05-18T18:55:01.712,294.160,0.770,-0.020,0.690
1558198501792,2019-05-18T18:55:01.792,294.240,0.325,-0.071,0.304
1558198501872,2019-05-18T18:55:01.872,294.320,0.821,-0.101,0.342
1558198501952,2019-05-18T18:55:01.952,294.400,0.903,-0.190,0.563
1558198502032,2019-05-18T18:55:02.032,294.480,1.016,-0.173,0.512
1558198502112,2019-05-18T18:55:02.112,294.560,0.949,-0.073,0.914
1558198502192,2019-05-18T18:55:02.192,294.640,0.551,-0.053,0.664
1558198502272,2019-05-18T18:55:02.272,294.720,0.334,0.095,0.266
1558198502352,2019-05-18T18:55:02.352,294.800,1.077,-0.072,0.455
1558198502432,2019-05-18T18:55:02.432,294.880,0.770,0.228,0.395
1558198502512,2019-05-18T18:55:02.512,294.960,0.938,-0.142,0.722
1558198502592,2019-05-18T18:55:02.592,295.040,0.889,-0.302,0.779
1558198502672,2019-05-18T18:55:02.672,295.120,0.524,-0.137,-0.243
1558198502752,2019-05-18T18:55:02.752,295.200,0.873,-0.018,0.267
1558198502832,2019-05-18T18:55:02.832,295.280,0.892,-0.315,0.541
1558198502912,2019-05-18T18:55:02.912,295.360,0.688,-0.139,0.508
1558198502992,2019-05-18T18:55:02.992,295.440,0.958,0.113,0.838
1558198503072,2019-05-18T18:55:03.072,295.520,0.525,0.047,0.336
1558198503152,2019-05-18T18:55:03.152,295.600,0.437,-0.008,0.427
1558198503232,2019-05-18T18:55:03.232,295.680,1.071,-0.238,0.932
1558198503312,2019-05-18T18:55:03.312,295.760,0.827,-0.000,0.476
1558198503392,2019-05-18T18:55:03.392,295.840,0.499,-0.121,0.698
1558198503472,2019-05-18T18:55:03.472,295.920,0.753,-0.106,0.438
1558198503552,2019-05-18T18:55:03.552,296.000,0.958,-0.233,0.483
1558198503632,2019-05-18T18:55:03.632,296.080,0.930,0.240,0.455
1558198503712,2019-05-18T18:55:03.712,296.160,0.858,-0.220,0.697
1558198503792,2019-05-18T18:55:03.792,296.240,0.872,-0.184,0.592
1558198503872,2019-05-18T18:55:03.872,296.320,0.827,-0.125,0.571
1558198503952,2019-05-18T18:55:03.952,296.400,0.209,0.061,0.284
1558198504032,2019-05-18T18:55:04.032,296.480,0.771,-0.007,0.683
1558198504112,2019-05-18T18:55:04.112,296.560,0.992,-0.118,0.846
1558198504192,2019-05-18T18:55:04.192,296.640,0.614,-0.009,0.487
1558198504272,2019-05-18T18:55:04.272,296.720,0.625,-0.033,0.296
1558198504352,2019-05-18T18:55:04.352,296.800,0.681,-0.272,0.520
1558198504432,2019-05-18T18:55:04.432,296.880,0.864,-0.024,0.495
1558198504512,2019-05-18T18:55:04.512,296.960,1.042,-0.167,0.831
1558198504592,2019-05-18T18:55:04.592,297.040,0.832,-0.203,0.554
1558198504672,2019-05-18T18:55:04.672,297.120,0.676,-0.016,0.236
1558198504752,2019-05-18T18:55:04.752,297.200,0.723,0.093,0.061
1558198504832,2019-05-18T18:55:04.832,297.280,0.973,0.216,0.408
1558198504912,2019-05-18T18:55:04.912,297.360,0.879,0.007,0.655
1558198504992,2019-05-18T18:55:04.992,297.440,1.141,-0.190,0.479
1558198505072,2019-05-18T18:55:05.072,297.520,0.201,-0.198,0.417
1558198505152,2019-05-18T18:55:05.152,297.600,0.539,-0.181,0.485
1558198505232,2019-05-18T18:55:05.232,297.680,0.566,-0.046,0.710
1558198505312,2019-05-18T18:55:05.312,297.760,0.445,-0.018,0.435
1558198505392,2019-05-18T18:55:05.392,297.840,0.754,-0.037,0.455
1558198505472,2019-05-18T18:55:05.472,297.920,1.284,0.010,0.726
1558198505552,2019-05-18T18:55:05.552,298.000,0.878,-0.168,0.491
1558198505632,2019-05-18T18:55:05.632,298.080,0.820,-0.187,0.569
1558198505712,2019-05-18T18:55:05.712,298.160,0.169,0.034,0.234
1558198505792,2019-05-18T18:55:05.792,298.240,1.270,-0.156,0.863
1558198505872,2019-05-18T18:55:05.872,298.320,0.431,-0.061,0.534
1558198505952,2019-05-18T18:55:05.952,298.400,0.867,-0.148,0.456
1558198506032,2019-05-18T18:55:06.032,298.480,0.928,-0.123,0.457
1558198506112,2019-05-18T18:55:06.112,298.560,0.240,-0.035,0.188
1558198506192,2019-05-18T18:55:06.192,298.640,1.096,-0.180,0.914
1558198506272,2019-05-18T18:55:06.272,298.720,0.440,-0.020,0.493
1558198506352,2019-05-18T18:55:06.352,298.800,0.683,-0.022,0.495
1558198506432,2019-05-18T18:55:06.432,298.880,1.024,0.007,0.695
1558198506512,2019-05-18T18:55:06.512,298.960,0.999,-0.056,0.697
1558198506592,2019-05-18T18:55:06.592,299.040,0.676,-0.066,0.419
1558198506672,2019-05-18T18:55:06.672,299.120,0.875,-0.091,0.525
1558198506752,2019-05-18T18:55:06.752,299.200,1.015,-0.041,0.678
1558198506832,2019-05-18T18:55:06.832,299.280,0.490,0.060,0.446
1558198506912,2019-05-18T18:55:06.912,299.360,1.060,-0.075,0.784
1558198506992,2019-05-18T18:55:06.992,299.440,0.462,0.065,0.505
1558198507072,2019-05-18T18:55:07.072,299.520,0.435,-0.006,0.379
1558198507152,2019-05-18T18:55:07.152,299.600,0.958,-0.168,0.827
1558198507232,2019-05-18T18:55:07.232,299.680,0.777,-0.289,0.468
1558198507312,2019-05-18T18:55:07.312,299.760,0.542,-0.091,0.211
1558198507392,2019-05-18T18:55:07.392,299.840,1.222,-0.124,0.442
1558198507472,2019-05-18T18:55:07.472,299.920,1.548,-0.218,0.630
1558198507552,2019-05-18T18:55:07.552,300.000,1.304,-0.121,1.173
1558198507632,2019-05-18T18:55:07.632,300.080,-0.431,0.152,0.386
1558198507712,2019-05-18T18:55:07.712,300.160,-0.528,-0.057,0.554
1558198507792,2019-05-18T18:55:07.792,300.240,1.236,-0.268,0.834
1558198507872,2019-05-18T18:55:07.872,300.320,1.532,-0.193,0.475
1558198507952,2019-05-18T18:55:07.952,300.400,1.116,-0.095,0.476
1558198508032,2019-05-18T18:55:08.032,300.480,0.534,0.021,0.397
1558198508112,2019-05-18T18:55:08.112,300.560,0.657,0.018,0.449
1558198508192,2019-05-18T18:55:08.192,300.640,0.694,-0.052,0.493
1558198508272,2019-05-18T18:55:08.272,300.720,0.395,-0.049,0.338
1558198508352,2019-05-18T18:55:08.352,300.800,0.696,0.021,0.523
1558198508432,2019-05-18T18:55:08.432,300.880,0.850,-0.126,0.705
1558198508512,2019-05-18T18:55:08.512,300.960,0.982,-0.403,0.605
1558198508592,2019-05-18T18:55:08.592,301.040,1.079,-0.343,0.610
1558198508672,2019-05-18T18:55:08.672,301.120,1.105,-0.170,0.571
1558198508752,2019-05-18T18:55:08.752,301.200,0.331,0.099,0.389
1558198508832,2019-05-18T18:55:08.832,301.280,0.419,-0.052,0.584
1558198508912,2019-05-18T18:55:08.912,301.360,0.821,0.080,0.619
1558198508992,2019-05-18T18:55:08.992,301.440,1.226,0.006,0.832
1558198509072,2019-05-18T18:55:09.072,301.520,1.047,0.127,0.556
1558198509152,2019-05-18T18:55:09.152,301.600,0.250,0.043,0.026
1558198509232,2019-05-18T18:55:09.232,301.680,1.280,0.045,1.313
1558198509312,2019-05-18T18:55:09.312,301.760,-0.181,0.051,0.037
1558198509392,2019-05-18T18:55:09.392,301.840,1.054,-0.167,0.816
1558198509472,2019-05-18T18:55:09.472,301.920,1.260,0.007,0.729
1558198509552,2019-05-18T18:55:09.552,302.000,1.194,-0.171,0.597
1558198509632,2019-05-18T18:55:09.632,302.080,0.565,-0.149,0.459
1558198509712,2019-05-18T18:55:09.712,302.160,0.752,-0.111,0.711
1558198509792,2019-05-18T18:55:09.792,302.240,0.657,-0.178,0.513
1558198509872,2019-05-18T18:55:09.872,302.320,0.646,-0.112,0.405
1558198509952,2019-05-18T18:55:09.952,302.400,1.246,-0.302,0.785
1558198510032,2019-05-18T18:55:10.032,302.480,0.896,-0.204,0.647
1558198510112,2019-05-18T18:55:10.112,302.560,0.785,0.025,0.547
1558198510192,2019-05-18T18:55:10.192,302.640,0.242,0.051,0.434
1558198510272,2019-05-18T18:55:10.272,302.720,0.597,0.087,0.639
1558198510352,2019-05-18T18:55:10.352,302.800,1.022,-0.012,0.544
1558198510432,2019-05-18T18:55:10.432,302.880,1.073,-0.068,0.463
1558198510512,2019-05-18T18:55:10.512,302.960,1.114,-0.164,0.511
1558198510592,2019-05-18T18:55:10.592,303.040,0.416,-0.094,0.339
1558198510672,2019-05-18T18:55:10.672,303.120,0.582,-0.104,0.663
1558198510752,2019-05-18T18:55:10.752,303.200,0.274,-0.051,0.391
1558198510832,2019-05-18T18:55:10.832,303.280,0.508,-0.170,0.474
1558198510912,2019-05-18T18:55:10.912,303.360,1.131,-0.100,0.684
1558198510992,2019-05-18T18:55:10.992,303.440,1.280,-0.175,0.647
1558198511072,2019-05-18T18:55:11.072,303.520,1.079,-0.087,0.777
1558198511152,2019-05-18T18:55:11.152,303.600,0.765,-0.142,0.789
1558198511232,2019-05-18T18:55:11.232,303.680,0.535,-0.142,0.868
1558198511312,2019-05-18T18:55:11.312,303.760,0.288,0.010,0.660
1558198511392,2019-05-18T18:55:11.392,303.840,0.702,-0.000,0.767
1558198511472,2019-05-18T18:55:11.472,303.920,0.730,-0.042,0.516
1558198511552,2019-05-18T18:55:11.552,304.000,0.577,-0.108,0.551
1558198511632,2019-05-18T18:55:11.632,304.080,0.644,-0.104,0.777
1558198511712,2019-05-18T18:55:11.712,304.160,0.768,0.024,0.586
1558198511792,2019-05-18T18:55:11.792,304.240,0.769,-0.021,0.577
1558198511872,2019-05-18T18:55:11.872,304.320,1.102,-0.163,0.771
1558198511952,2019-05-18T18:55:11.952,304.400,0.945,-0.068,0.839
1558198512032,2019-05-18T18:55:12.032,304.480,0.198,-0.015,0.673
1558198512112,2019-05-18T18:55:12.112,304.560,0.544,-0.127,0.888
1558198512192,2019-05-18T18:55:12.192,304.640,0.557,-0.118,0.556
1558198512272,2019-05-18T18:55:12.272,304.720,0.549,-0.002,0.359
1558198512352,2019-05-18T18:55:12.352,304.800,0.619,0.067,0.823
1558198512432,2019-05-18T18:55:12.432,304.880,0.805,-0.068,0.844
1558198512512,2019-05-18T18:55:12.512,304.960,0.916,-0.076,0.764
1558198512592,2019-05-18T18:55:12.592,305.040,1.008,-0.120,0.838
1558198512672,2019-05-18T18:55:12.672,305.120,0.894,-0.130,0.891
1558198512752,2019-05-18T18:55:12.752,305.200,0.582,0.018,0.655
1558198512832,2019-05-18T18:55:12.832,305.280,0.322,-0.051,0.145
1558198512912,2019-05-18T18:55:12.912,305.360,1.065,-0.110,0.926
1558198512992,2019-05-18T18:55:12.992,305.440,-0.012,0.025,0.364
1558198513072,2019-05-18T18:55:13.072,305.520,0.739,-0.212,0.934
1558198513152,2019-05-18T18:55:13.152,305.600,1.140,-0.233,0.908
1558198513232,2019-05-18T18:55:13.232,305.680,0.194,-0.146,0.230
1558198513312,2019-05-18T18:55:13.312,305.760,0.618,-0.107,1.144
1558198513392,2019-05-18T18:55:13.392,305.840,1.116,0.002,1.480
1558198513472,2019-05-18T18:55:13.472,305.920,0.335,0.107,0.312
1558198513552,2019-05-18T18:55:13.552,306.000,0.310,-0.084,0.431
1558198513632,2019-05-18T18:55:13.632,306.080,1.311,-0.060,1.431
1558198513712,2019-05-18T18:55:13.712,306.160,0.826,-0.010,0.456
1558198513792,2019-05-18T18:55:13.792,306.240,0.905,0.058,0.767
1558198513872,2019-05-18T18:55:13.872,306.320,0.810,-0.033,0.684
1558198513952,2019-05-18T18:55:13.952,306.400,0.722,0.010,0.428
